CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/01/19,18:41,,,,,,VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4060800,Sedan,Sedan,,,
1/01/19,0:20,QUEENS,11377,40.743137,-73.915855,"(40.743137, -73.915855)",ROOSEVELT AVENUE                ,49 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4060563,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/01/19,3:30,QUEENS,11103,40.75902,-73.91345,"(40.75902, -73.91345)",,,31-20     45 STREET                     ,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,,4060689,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,
1/01/19,12:00,,,40.878483,-73.86163,"(40.878483, -73.86163)",EAST 213 STREET                 ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4060655,Sedan,Sedan,,,
1/01/19,2:30,BROOKLYN,11211,40.703434,-73.96035,"(40.703434, -73.96035)",WILLIAMSBURG STREET WEST        ,BEDFORD AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,4060542,Sedan,Sedan,Sedan,,
1/01/19,2:00,,,40.722683,-73.8197,"(40.722683, -73.8197)",MAIN STREET                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060409,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/01/19,9:00,STATEN ISLAND,10310,40.62619,-74.11968,"(40.62619, -74.11968)",CLOVE LAKE PLACE                ,CLOVE ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4062126,Pick-up Truck,,,,
1/01/19,11:00,MANHATTAN,10002,40.714222,-73.994865,"(40.714222, -73.994865)",MARKET STREET                   ,DIVISION STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4060671,Taxi,Sedan,,,
1/01/19,2:50,BROOKLYN,11234,40.618603,-73.93247,"(40.618603, -73.93247)",FLATBUSH AVENUE                 ,AVENUE N,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4060466,Station Wagon/Sport Utility Vehicle,Taxi,,,
1/01/19,5:00,QUEENS,11423,40.710827,-73.77066,"(40.710827, -73.77066)",188 STREET                      ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4060427,Sedan,Sedan,,,
1/01/19,15:57,BRONX,10453,40.851936,-73.90557,"(40.851936, -73.90557)",BUSH STREET                     ,CRESTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060643,Station Wagon/Sport Utility Vehicle,Box Truck,,,
1/01/19,12:50,BROOKLYN,11229,40.611015,-73.95292,"(40.611015, -73.95292)",,,2019      KINGS HIGHWAY                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060519,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/01/19,18:42,,,40.86446,-73.91895,"(40.86446, -73.91895)",10 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4060860,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/01/19,1:50,,,40.822834,-73.941925,"(40.822834, -73.941925)",8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4060411,Taxi,Taxi,,,
1/01/19,22:00,MANHATTAN,10023,40.76889,-73.9821,"(40.76889, -73.9821)",BROADWAY                        ,WEST 60 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4060781,Taxi,Sedan,,,
1/01/19,7:03,,,40.868458,-73.8214,"(40.868458, -73.8214)",HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060550,Taxi,Station Wagon/Sport Utility Vehicle,,,
1/01/19,13:00,MANHATTAN,10021,40.77373,-73.96402,"(40.77373, -73.96402)",EAST 75 STREET                  ,MADISON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060832,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/01/19,1:00,,,40.588924,-74.167625,"(40.588924, -74.167625)",RICHMOND AVENUE                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4060526,Sedan,Station Wagon/Sport Utility Vehicle,,,
