,CRASH DATE,CRASH TIME,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,PERSON_AGE,PERSON_SEX,time,temperature,precipitation,rain,snowfall,snow_depth,date
0,2019-01-02,16:00:00,40.71058,-74.007385,"(40.71058, -74.007385)",1,0,1,0,0,0,0,0,Passing or Lane Usage Improper,4061151,Taxi,60,M,16:00:00,2.6,0.0,0.0,0.0,0.0,2019-01-02
1,2019-01-03,18:00:00,40.704422,-73.792854,"(40.704422, -73.792854)",1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,4061375,Station Wagon/Sport Utility Vehicle,60,F,18:00:00,6.9,0.0,0.0,0.0,0.0,2019-01-03
2,2019-01-08,07:00:00,40.652855,-73.945915,"(40.652855, -73.945915)",1,0,1,0,0,0,0,0,Backing Unsafely,4063731,Station Wagon/Sport Utility Vehicle,42,F,07:00:00,0.9,0.0,0.0,0.0,0.0,2019-01-08
3,2019-01-09,12:00:00,40.669857,-73.95051,"(40.669857, -73.95051)",0,0,0,0,0,0,0,0,Driver Inattention/Distraction,4066070,Sedan,0,M,12:00:00,4.2,0.0,0.0,0.0,0.0,2019-01-09
4,2019-01-12,16:00:00,40.602535,-73.99321,"(40.602535, -73.99321)",1,0,1,0,0,0,0,0,Following Too Closely,4065635,Pick-up Truck,35,F,16:00:00,-1.8,0.0,0.0,0.0,0.0,2019-01-12
5,2019-01-12,01:00:00,40.82092,-73.94333,"(40.82092, -73.94333)",2,0,1,0,0,0,1,0,Traffic Control Disregarded,4057878,Sedan,36,M,01:00:00,-4.4,0.0,0.0,0.0,0.0,2019-01-12
6,2019-01-13,20:00:00,40.715993999999995,-73.92049,"(40.715993999999995, -73.92049)",1,0,1,0,0,0,0,0,Driver Inattention/Distraction,4066131,Sedan,52,M,20:00:00,-0.1,0.0,0.0,0.0,0.033,2019-01-13
7,2019-01-13,13:00:00,40.72465,-73.89879,"(40.72465, -73.89879)",1,0,1,0,0,0,0,0,Backing Unsafely,4058853,Pick-up Truck,42,M,13:00:00,-4.1,0.004,0.0,0.028,0.0,2019-01-13
8,2019-01-15,11:00:00,40.665092,-73.87063,"(40.665092, -73.87063)",1,0,1,0,0,0,0,0,Driver Inattention/Distraction,4067581,Sedan,43,M,11:00:00,-5.1,0.0,0.0,0.0,0.033,2019-01-15
9,2019-01-17,09:00:00,40.71234,-73.788605,"(40.71234, -73.788605)",3,0,2,0,0,0,1,0,Unsafe Speed,4056839,Sedan,47,M,09:00:00,-5.4,0.0,0.0,0.0,0.0,2019-01-17
10,2019-01-17,09:00:00,40.71234,-73.788605,"(40.71234, -73.788605)",3,0,2,0,0,0,1,0,Unsafe Speed,4056839,Sedan,50,M,09:00:00,-5.4,0.0,0.0,0.0,0.0,2019-01-17
11,2019-01-19,22:00:00,40.77064,-73.82658,"(40.77064, -73.82658)",1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,4058661,Station Wagon/Sport Utility Vehicle,51,F,22:00:00,1.6,0.0,0.0,0.0,0.033,2019-01-19
12,2019-01-23,20:00:00,40.590958,-74.08821,"(40.590958, -74.08821)",0,0,0,0,0,0,0,0,Backing Unsafely,4059831,Sedan,42,M,20:00:00,5.5,0.0,0.0,0.0,0.033,2019-01-23
13,2019-01-23,08:00:00,40.665905,-73.87778,"(40.665905, -73.87778)",2,0,1,0,0,0,1,0,Failure to Yield Right-of-Way,4059709,Sedan,61,M,08:00:00,-2.6,0.0,0.0,0.0,0.033,2019-01-23
14,2019-01-25,18:00:00,40.775314,-73.90306,"(40.775314, -73.90306)",6,0,2,0,0,0,4,0,Failure to Yield Right-of-Way,4069817,Station Wagon/Sport Utility Vehicle,39,M,18:00:00,2.4,0.0,0.0,0.0,0.0,2019-01-25
15,2019-01-25,18:00:00,40.775314,-73.90306,"(40.775314, -73.90306)",6,0,2,0,0,0,4,0,Failure to Yield Right-of-Way,4069817,Station Wagon/Sport Utility Vehicle,27,F,18:00:00,2.4,0.0,0.0,0.0,0.0,2019-01-25
